In order to load the library 'toscomm' Java tries to locate the file 'libtoscomm.so' in one of the following paths:
/usr/java/packages/lib/i386:/usr/lib/i386-linux-gnu/jni:/lib/i386-linux-gnu:/usr/lib/i386-linux-gnu:/usr/lib/jni:/lib:/usr/lib

The operating system is 'Linux' (i386)

Trying to locate the file 'linux_x86_toscomm.lib' in the classpath
Temporary file created: '/tmp/toscomm1085399509648321212.lib'
Library copied successfully. Let's load it.
Library loaded successfully
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 1C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 1D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 1E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 1F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 20 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 21 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 22 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 23 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 24 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 25 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 26 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 27 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 28 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 29 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 2F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 30 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 31 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 32 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 33 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 34 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 35 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 36 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 37 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 38 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 39 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 3A 00 00 00 00 
