In order to load the library 'toscomm' Java tries to locate the file 'libtoscomm.so' in one of the following paths:
/usr/java/packages/lib/i386:/usr/lib/i386-linux-gnu/jni:/lib/i386-linux-gnu:/usr/lib/i386-linux-gnu:/usr/lib/jni:/lib:/usr/lib

The operating system is 'Linux' (i386)

Trying to locate the file 'linux_x86_toscomm.lib' in the classpath
Temporary file created: '/tmp/toscomm3208724537864385529.lib'
Library copied successfully. Let's load it.
Library loaded successfully
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 03 F4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 03 F5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 03 F8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 03 FB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 03 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 0F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 25 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 26 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 27 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 28 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 2A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 2C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 2D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 2E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 2F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 30 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 31 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 32 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 33 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 34 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 36 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 37 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 3B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 3C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 3D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 3E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 3F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 40 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 42 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 43 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 46 00 00 00 00 
